,Player,Match_played,Starts,Minutes_played,goals,assist,Shots,shots_on_target,non_penalty_goals,penalty_goal,yellow_card,red_card,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
335,Kim Seunggyu,4,4,360,0,0,0,0,0,0,0,0,93.0,128.0,72.7,0.0,0,0.0,2,2.0,139.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,2.0,GK,31,Saudi Arabia,AlShabab,Korea Republic
336,Kim Younggwon,4,4,350,1,0,2,1,1,0,1,0,178.0,209.0,85.2,3.0,2,3.0,3,11.0,233.0,0.0,0.0,0.0,1,2,0,1,0.0,0.0,0,6.0,2.0,DF,32,Korea Republic,Ulsan Hyundai,Korea Republic
337,Hwang Inbeom,4,4,334,0,0,6,1,0,0,0,0,194.0,247.0,78.5,4.0,3,1.0,3,2.0,275.0,0.0,5.0,0.0,7,3,0,6,0.0,0.0,0,2.0,5.0,MF,25,Greece,Olympiacos,Korea Republic
338,Kim Jinsu,4,4,315,0,1,4,0,0,0,0,0,105.0,146.0,71.9,10.0,5,2.0,3,5.0,177.0,0.0,2.0,0.0,1,6,1,16,0.0,0.0,0,10.0,4.0,DF,30,Korea Republic,Jeonbuk,Korea Republic
339,Jung Wooyoung,4,4,303,0,0,1,0,0,0,2,0,178.0,211.0,84.4,5.0,4,3.0,3,7.0,241.0,0.0,0.0,0.0,11,0,0,1,0.0,1.0,0,6.0,2.0,MF,32,Qatar,Al Sadd SC,Korea Republic
340,Cho Guesung,4,3,275,2,0,9,5,2,0,1,0,40.0,63.0,63.5,0.0,0,3.0,0,3.0,90.0,0.0,5.0,0.0,7,6,4,1,0.0,0.0,0,21.0,12.0,FW,24,Korea Republic,Jeonbuk,Korea Republic
341,Kim Minjae,3,3,269,0,0,2,0,0,0,0,0,167.0,191.0,87.4,2.0,1,5.0,2,8.0,213.0,1.0,1.0,100.0,0,0,0,1,0.0,0.0,0,10.0,1.0,DF,25,Italy,Napoli,Korea Republic
342,Lee Jaesung,3,3,211,0,0,1,0,0,0,0,0,84.0,97.0,86.6,5.0,2,3.0,3,2.0,115.0,2.0,3.0,66.7,2,1,0,1,0.0,0.0,0,3.0,4.0,MFFW,29,Germany,Mainz 05,Korea Republic
343,Lee Kangin,4,1,147,0,1,5,1,0,0,1,0,62.0,77.0,80.5,4.0,3,0.0,0,0.0,92.0,1.0,2.0,50.0,2,4,0,12,0.0,0.0,0,0.0,1.0,MFFW,21,Spain,Mallorca,Korea Republic
344,Na Sangho,2,1,119,0,0,1,1,0,0,0,0,24.0,37.0,64.9,4.0,1,0.0,0,2.0,60.0,0.0,4.0,0.0,2,0,0,8,0.0,0.0,0,3.0,3.0,FW,25,Korea Republic,FC Seoul,Korea Republic
345,Hwang Heechan,2,1,115,1,0,6,5,1,0,1,0,45.0,59.0,76.3,1.0,1,0.0,0,0.0,83.0,3.0,10.0,30.0,3,3,0,3,0.0,0.0,0,0.0,1.0,MFFW,26,England,Wolves,Korea Republic
346,Hwang Uijo,4,1,106,0,0,1,0,0,0,0,0,9.0,11.0,81.8,0.0,0,0.0,0,1.0,18.0,1.0,1.0,100.0,0,0,0,0,0.0,0.0,0,1.0,12.0,FWMF,29,Greece,Olympiacos,Korea Republic
347,Kwon Kyungwon,2,1,91,0,0,1,0,0,0,0,0,39.0,43.0,90.7,0.0,0,1.0,2,5.0,54.0,0.0,0.0,0.0,0,3,0,0,0.0,0.0,0,2.0,2.0,DF,30,Japan,Gamba Osaka,Korea Republic
348,Kwon Changhoon,1,1,56,0,0,0,0,0,0,0,0,19.0,25.0,76.0,1.0,0,0.0,0,0.0,28.0,0.0,0.0,0.0,0,0,0,3,0.0,0.0,0,0.0,2.0,FWMF,27,Korea Republic,Sangju Sangmu,Korea Republic
349,Jeong Wooyeong,1,1,45,0,0,1,0,0,0,0,0,12.0,15.0,80.0,0.0,0,0.0,0,1.0,20.0,0.0,1.0,0.0,1,0,0,1,0.0,0.0,0,0.0,0.0,MF,22,Germany,Freiburg,Korea Republic
350,Son Junho,3,0,72,0,0,0,0,0,0,0,0,55.0,59.0,93.2,3.0,3,3.0,3,0.0,68.0,0.0,0.0,0.0,5,0,0,0,0.0,0.0,0,0.0,1.0,MFDF,30,China,Shandong Lunen,Korea Republic
351,Hong Chul,1,0,45,0,0,0,0,0,0,0,0,17.0,20.0,85.0,0.0,0,2.0,1,1.0,25.0,0.0,1.0,0.0,0,0,0,2,0.0,0.0,0,1.0,0.0,DF,31,Korea Republic,Daegu,Korea Republic
352,Paik Seungho,1,0,26,1,0,1,1,1,0,0,0,20.0,27.0,74.1,3.0,2,0.0,0,0.0,31.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,1.0,0.0,MF,25,Korea Republic,Jeonbuk,Korea Republic
353,Cho Yumin,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,FW,25,Korea Republic,Daejeon Citizen FC,Korea Republic
354,Joshua Kimmich,3,3,270,0,0,7,4,0,0,1,0,226.0,267.0,84.6,5.0,2,6.0,3,1.0,302.0,1.0,4.0,25.0,2,2,0,21,0.0,0.0,0,4.0,1.0,MFDF,27,Germany,Bayern Munich,Germany
355,Manuel Neuer,3,3,270,0,0,0,0,0,0,0,0,115.0,127.0,90.6,0.0,0,0.0,0,0.0,133.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,36,Germany,Bayern Munich,Germany
356,Antonio Radiger,3,3,270,0,0,6,1,0,0,0,0,229.0,252.0,90.9,2.0,1,3.0,0,5.0,272.0,0.0,1.0,0.0,0,3,1,0,0.0,0.0,0,6.0,1.0,DF,29,Spain,Real Madrid,Germany
357,Niklas Sale,3,3,269,0,0,1,0,0,0,0,0,231.0,255.0,90.6,5.0,4,1.0,0,7.0,267.0,0.0,0.0,0.0,0,2,0,1,0.0,0.0,0,6.0,3.0,DF,26,Germany,Dortmund,Germany
358,Serge Gnabry,3,3,263,1,1,12,4,1,0,0,0,86.0,118.0,72.9,5.0,2,2.0,2,3.0,151.0,3.0,5.0,60.0,2,2,3,7,0.0,0.0,0,0.0,2.0,FWMF,26,Germany,Bayern Munich,Germany
359,Jamal Musiala,3,3,258,0,1,12,3,0,0,0,0,85.0,105.0,81.0,1.0,1,3.0,1,0.0,165.0,19.0,36.0,52.8,1,6,1,1,0.0,0.0,0,1.0,2.0,MFFW,19,Germany,Bayern Munich,Germany
360,David Raum,3,3,242,0,1,0,0,0,0,0,0,153.0,195.0,78.5,6.0,3,10.0,7,2.0,232.0,2.0,4.0,50.0,5,3,1,24,1.0,0.0,0,5.0,3.0,DF,24,Germany,RB Leipzig,Germany
361,Thomas Muller,3,3,201,0,0,3,0,0,0,0,0,56.0,78.0,71.8,2.0,2,4.0,1,0.0,91.0,0.0,0.0,0.0,0,1,2,5,0.0,0.0,0,1.0,7.0,FWMF,32,Germany,Bayern Munich,Germany
362,Alkay Gandoayan,3,3,189,1,0,5,2,0,1,0,0,150.0,168.0,89.3,3.0,1,2.0,1,1.0,188.0,2.0,2.0,100.0,3,2,1,1,0.0,0.0,0,3.0,2.0,MF,31,England,Manchester City,Germany
363,Leon Goretzka,3,2,159,0,0,4,1,0,0,1,0,42.0,57.0,73.7,5.0,3,1.0,1,0.0,72.0,0.0,0.0,0.0,4,3,0,1,0.0,0.0,0,3.0,2.0,MF,27,Germany,Bayern Munich,Germany
364,Leroy Sana,2,1,111,0,1,3,0,0,0,0,0,47.0,58.0,81.0,1.0,1,2.0,0,1.0,67.0,3.0,6.0,50.0,0,0,0,2,0.0,0.0,0,1.0,1.0,FWDF,26,Germany,Bayern Munich,Germany
365,Kai Havertz,2,1,102,2,0,5,3,2,0,0,0,27.0,34.0,79.4,1.0,1,0.0,1,0.0,45.0,0.0,0.0,0.0,3,0,3,2,0.0,0.0,0,0.0,2.0,FW,23,England,Chelsea,Germany
366,Nico Schlotterbeck,2,1,94,0,0,0,0,0,0,0,0,110.0,123.0,89.4,4.0,3,2.0,1,1.0,135.0,0.0,2.0,0.0,1,1,0,0,0.0,0.0,0,2.0,0.0,DF,22,Germany,Dortmund,Germany
367,Thilo Kehrer,1,1,69,0,0,0,0,0,0,1,0,22.0,29.0,75.9,6.0,2,1.0,3,2.0,43.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0,0.0,0.0,DF,25,England,West Ham,Germany
368,Niclas Fallkrug,3,0,69,2,1,8,3,2,0,0,0,15.0,24.0,62.5,0.0,0,0.0,0,0.0,38.0,1.0,1.0,100.0,0,1,0,0,0.0,0.0,0,4.0,5.0,FW,29,Germany,Werder Bremen,Germany
369,Lukas Klostermann,2,0,66,0,0,0,0,0,0,0,0,51.0,52.0,98.1,3.0,1,0.0,0,1.0,57.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,0.0,DF,26,Germany,RB Leipzig,Germany
370,Mario Gotze,2,0,36,0,0,1,1,0,0,0,0,21.0,23.0,91.3,1.0,0,2.0,0,0.0,30.0,0.0,2.0,0.0,0,1,0,2,0.0,0.0,0,0.0,0.0,MF,30,Germany,Eint Frankfurt,Germany
371,Jonas Hofmann,2,0,30,0,0,1,1,0,0,0,0,16.0,20.0,80.0,0.0,0,2.0,0,0.0,26.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,FW,29,Germany,MGladbach,Germany
372,Matthias Ginter,1,0,1,0,0,0,0,0,0,0,0,3.0,3.0,100.0,0.0,0,0.0,0,0.0,3.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,1.0,DF,28,Germany,Freiburg,Germany
373,Youssoufa Moukoko,1,0,1,0,0,0,0,0,0,0,0,1.0,2.0,50.0,0.0,0,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,0.0,0.0,FW,17,Germany,Dortmund,Germany
374,Pervis Estupiaain,3,3,270,0,0,1,1,0,0,0,0,148.0,190.0,77.9,6.0,3,4.0,3,6.0,222.0,2.0,8.0,25.0,8,3,2,19,0.0,0.0,0,3.0,3.0,DF,24,England,Brighton,Ecuador
375,Hernain Galandez,3,3,270,0,0,0,0,0,0,0,0,44.0,74.0,59.5,0.0,0,0.0,0,0.0,76.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,2.0,0.0,GK,35,Ecuador,SD Aucas,Ecuador
376,Piero Hincapia,3,3,270,0,0,0,0,0,0,0,0,168.0,200.0,84.0,7.0,4,2.0,2,9.0,227.0,0.0,0.0,0.0,5,1,0,1,0.0,1.0,0,5.0,3.0,DF,20,Germany,Leverkusen,Ecuador
377,Falix Torres Caicedo,3,3,270,0,1,1,0,0,0,0,0,168.0,208.0,80.8,2.0,2,3.0,4,10.0,233.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,0,9.0,4.0,DF,25,Mexico,Santos,Ecuador
378,Moisas Caicedo,3,3,269,1,0,3,1,1,0,1,0,126.0,153.0,82.4,6.0,5,4.0,2,2.0,174.0,0.0,0.0,0.0,4,5,0,0,0.0,0.0,0,1.0,1.0,MF,20,England,Brighton,Ecuador
379,Gonzalo Plata,3,3,269,0,0,2,1,0,0,0,0,77.0,104.0,74.0,3.0,2,3.0,2,0.0,133.0,4.0,12.0,33.3,4,6,0,17,0.0,0.0,0,5.0,6.0,MFFW,21,Spain,Valladolid,Ecuador
380,Angelo Preciado,3,3,264,0,1,4,0,0,0,0,0,94.0,129.0,72.9,7.0,5,2.0,6,4.0,160.0,0.0,4.0,0.0,8,2,0,8,0.0,0.0,0,3.0,2.0,DF,24,Belgium,Genk,Ecuador
381,Enner Valencia,3,3,255,3,0,8,3,2,1,0,0,40.0,57.0,70.2,2.0,0,3.0,1,2.0,99.0,2.0,7.0,28.6,3,7,2,3,1.0,0.0,0,2.0,8.0,FWMF,32,Turkey,Fenerbahae,Ecuador
382,Michael Estrada,3,3,225,0,0,3,0,0,0,0,0,28.0,50.0,56.0,1.0,0,4.0,0,0.0,71.0,2.0,3.0,66.7,6,7,2,0,0.0,0.0,0,13.0,14.0,FW,26,Mexico,Cruz Azul,Ecuador
383,Jhegson Mandez,2,2,180,0,0,0,0,0,0,2,0,128.0,140.0,91.4,2.0,2,4.0,1,1.0,149.0,0.0,1.0,0.0,3,2,0,2,0.0,0.0,0,2.0,2.0,MF,25,USA,Los Angeles FC,Ecuador
384,Jackson Porozo,2,1,96,0,0,1,0,0,0,0,0,39.0,44.0,88.6,2.0,2,1.0,3,4.0,58.0,0.0,0.0,0.0,1,2,1,0,0.0,0.0,0,1.0,0.0,DF,21,France,Troyes,Ecuador
385,Romario Ibarra,2,1,68,0,0,2,1,0,0,0,0,10.0,14.0,71.4,0.0,0,1.0,1,2.0,23.0,1.0,1.0,100.0,0,0,0,0,0.0,0.0,0,0.0,1.0,MF,27,Mexico,Pachuca,Ecuador
386,Alan Franco,2,1,46,0,0,0,0,0,0,0,0,10.0,11.0,90.9,1.0,0,0.0,2,1.0,16.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,1.0,MF,23,Argentina,Talleres,Ecuador
387,Carlos Gruezo,1,1,45,0,0,0,0,0,0,0,0,15.0,15.0,100.0,2.0,2,0.0,0,0.0,19.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,MF,27,Germany,Augsburg,Ecuador
388,Jeremy Sarmiento,3,0,85,0,0,1,1,0,0,0,0,23.0,37.0,62.2,2.0,1,0.0,1,0.0,45.0,2.0,6.0,33.3,2,2,1,5,0.0,0.0,0,2.0,1.0,MFFW,19,England,Brighton,Ecuador
389,Josa Cifuentes,2,0,59,0,0,1,1,0,0,0,0,33.0,44.0,75.0,2.0,2,1.0,0,1.0,53.0,0.0,0.0,0.0,3,0,0,2,0.0,0.0,0,0.0,0.0,MF,23,USA,Los Angeles FC,Ecuador
390,Djorkaeff Reasco,1,0,27,0,0,0,0,0,0,0,0,2.0,2.0,100.0,0.0,0,0.0,0,0.0,3.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,0.0,FW,23,Argentina,Newells OB,Ecuador
391,Kevin Rodriguez,2,0,2,0,0,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,0.0,FW,22,0,0,Ecuador
392,Collins Fai,3,3,270,0,0,1,0,0,0,2,0,99.0,146.0,67.8,5.0,2,2.0,4,7.0,169.0,0.0,2.0,0.0,4,4,0,13,0.0,0.0,0,1.0,1.0,DF,29,Saudi Arabia,AlTaee,Cameroon
393,Nouhou Tolo,3,3,270,0,0,0,0,0,0,1,0,83.0,109.0,76.1,8.0,5,5.0,6,10.0,148.0,1.0,5.0,20.0,3,1,0,7,0.0,0.0,0,4.0,3.0,DF,24,USA,Seattle,Cameroon
394,Andre Frank Zambo Anguissa,3,3,260,0,1,1,1,0,0,0,0,113.0,130.0,86.9,4.0,0,2.0,5,2.0,158.0,4.0,5.0,80.0,6,4,0,2,0.0,0.0,0,4.0,0.0,MF,26,Italy,Napoli,Cameroon
395,Eric Maxim ChoupoMoting,3,3,253,1,0,3,2,1,0,0,0,44.0,66.0,66.7,4.0,2,0.0,1,1.0,88.0,3.0,8.0,37.5,0,1,1,0,0.0,0.0,0,11.0,6.0,FWMF,33,Germany,Bayern Munich,Cameroon
396,Bryan Mbeumo,3,3,233,0,0,2,2,0,0,0,0,49.0,85.0,57.6,0.0,0,1.0,1,2.0,107.0,1.0,7.0,14.3,1,8,0,12,0.0,0.0,0,5.0,9.0,FWMF,22,England,Brentford,Cameroon
397,Jean Charles Castelletto,2,2,180,1,1,1,1,1,0,0,0,66.0,82.0,80.5,3.0,3,2.0,6,12.0,109.0,1.0,1.0,100.0,1,1,0,3,0.0,0.0,0,3.0,1.0,DF,27,France,Nantes,Cameroon
398,Devis Epassy,2,2,180,0,0,0,0,0,0,0,0,57.0,83.0,68.7,0.0,0,0.0,0,2.0,92.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,2.0,0.0,GK,29,Saudi Arabia,Abha,Cameroon
399,Nicolas Nkoulou,2,2,180,0,1,3,1,0,0,1,0,79.0,91.0,86.8,2.0,0,2.0,5,8.0,115.0,0.0,0.0,0.0,2,2,0,0,0.0,0.0,0,2.0,4.0,DF,32,Greece,Aris,Cameroon
400,Karl Toko Ekambi,3,2,166,0,0,2,1,0,0,0,0,43.0,53.0,81.1,1.0,1,1.0,2,0.0,68.0,1.0,4.0,25.0,0,3,0,3,0.0,0.0,0,1.0,4.0,FWMF,29,France,Lyon,Cameroon
401,Pierre Kunde,2,2,131,0,0,5,2,0,0,1,0,38.0,49.0,77.6,4.0,2,0.0,4,4.0,71.0,0.0,1.0,0.0,3,1,0,4,0.0,0.0,0,1.0,0.0,MF,26,Greece,Olympiacos,Cameroon
402,Martin Hongla,2,2,121,0,0,1,1,0,0,0,0,49.0,61.0,80.3,0.0,0,2.0,2,3.0,73.0,2.0,3.0,66.7,1,1,1,1,0.0,0.0,0,1.0,0.0,MF,24,Italy,Hellas Verona,Cameroon
403,Vincent Aboubakar,3,1,142,2,1,6,3,2,0,2,1,20.0,31.0,64.5,0.0,0,0.0,0,4.0,48.0,5.0,7.0,71.4,3,2,0,0,0.0,0.0,0,2.0,3.0,FW,30,Saudi Arabia,AlNassr,Cameroon
404,Samuel Oum Gouet,2,1,100,0,0,0,0,0,0,0,0,52.0,59.0,88.1,1.0,1,0.0,0,3.0,65.0,0.0,0.0,0.0,0,1,0,1,0.0,0.0,0,1.0,0.0,MF,24,Belgium,Mechelen,Cameroon
405,Moumi Ngamaleu,2,1,95,0,0,0,0,0,0,0,0,21.0,25.0,84.0,3.0,1,0.0,0,0.0,36.0,2.0,4.0,50.0,3,5,0,1,0.0,0.0,0,0.0,2.0,FWMF,27,Russia,Dynamo Mosc,Cameroon
406,Enzo Ebosse,1,1,90,0,0,0,0,0,0,0,0,34.0,38.0,89.5,4.0,2,1.0,0,5.0,49.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,2.0,0.0,DF,23,Italy,Udinese,Cameroon
407,Christopher Wooh,1,1,90,0,0,1,0,0,0,0,0,25.0,31.0,80.6,1.0,0,3.0,1,6.0,45.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,0.0,0.0,DF,20,France,Rennes,Cameroon
408,Andra Onana,1,1,80,0,0,0,0,0,0,0,0,45.0,59.0,76.3,0.0,0,0.0,0,0.0,60.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,26,Italy,Inter,Cameroon
409,Gaal Ondoua,2,0,47,0,0,0,0,0,0,0,0,17.0,19.0,89.5,2.0,1,1.0,2,0.0,25.0,0.0,0.0,0.0,2,1,0,0,0.0,0.0,0,1.0,2.0,MF,26,Germany,Hannover 96,Cameroon
410,GeorgesKavin NKoudou,2,0,27,0,0,1,1,0,0,0,0,9.0,12.0,75.0,0.0,0,0.0,0,0.0,21.0,0.0,2.0,0.0,1,1,0,2,0.0,0.0,0,0.0,1.0,FWMF,27,Turkey,Beaiktaa,Cameroon
411,Olivier Ntcham,1,0,25,0,0,1,1,0,0,0,0,11.0,12.0,91.7,0.0,0,0.0,0,1.0,14.0,2.0,2.0,100.0,0,0,0,0,0.0,0.0,0,0.0,0.0,MF,26,England,Swansea City,Cameroon
412,Christian Bassogog,1,0,24,0,0,0,0,0,0,1,0,5.0,9.0,55.6,0.0,0,0.0,1,0.0,14.0,2.0,4.0,50.0,0,1,0,2,0.0,0.0,0,0.0,0.0,MF,26,China,Shanghai Shen,Cameroon
413,Jerome Ngom Mbekeli,1,0,5,0,0,0,0,0,0,0,0,1.0,2.0,50.0,0.0,0,0.0,0,1.0,4.0,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0,1.0,0.0,MF,23,Cameroon,Colombe Sportive du Dja et Lobo,Cameroon
414,Josa Maraa Giminez,3,3,270,0,0,3,0,0,0,1,0,141.0,174.0,81.0,4.0,1,6.0,7,11.0,213.0,0.0,0.0,0.0,4,3,1,2,0.0,1.0,0,8.0,3.0,DF,27,Spain,Atlatico Madrid,Uruguay
415,Sergio Rochet,3,3,270,0,0,0,0,0,0,0,0,54.0,78.0,69.2,0.0,0,0.0,0,1.0,89.0,0.0,0.0,0.0,1,0,0,0,0.0,1.0,0,1.0,0.0,GK,29,Uruguay,Nacional,Uruguay
416,Federico Valverde,3,3,270,0,0,7,1,0,0,0,0,159.0,189.0,84.1,7.0,4,6.0,5,1.0,227.0,1.0,4.0,25.0,6,2,0,7,0.0,0.0,0,1.0,3.0,MF,23,Spain,Real Madrid,Uruguay
417,Mathaas Olivera,3,3,253,0,0,2,0,0,0,1,0,104.0,133.0,78.2,9.0,5,9.0,2,10.0,183.0,0.0,3.0,0.0,2,3,0,6,0.0,0.0,0,6.0,4.0,DF,24,Italy,Napoli,Uruguay
418,Darwin Naaez,3,3,240,0,0,3,1,0,0,1,0,35.0,56.0,62.5,3.0,2,2.0,0,2.0,86.0,0.0,4.0,0.0,2,3,0,4,0.0,0.0,0,5.0,10.0,FW,22,England,Liverpool,Uruguay
419,Rodrigo Bentancur,3,3,213,0,0,3,1,0,0,1,0,136.0,160.0,85.0,9.0,8,3.0,7,5.0,195.0,3.0,6.0,50.0,5,3,0,2,0.0,0.0,0,6.0,3.0,MF,24,England,Tottenham,Uruguay
420,Mataas Vecino,3,2,195,0,0,1,1,0,0,0,0,76.0,106.0,71.7,4.0,3,6.0,4,1.0,131.0,0.0,0.0,0.0,4,0,0,1,0.0,0.0,0,3.0,3.0,MF,30,Italy,Lazio,Uruguay
421,Guillermo Varela,3,2,183,0,0,0,0,0,0,0,0,62.0,92.0,67.4,3.0,2,1.0,3,1.0,108.0,0.0,3.0,0.0,3,8,0,7,0.0,0.0,0,1.0,2.0,DF,29,Brazil,Flamengo,Uruguay
422,Facundo Pellistri,3,2,181,0,0,1,0,0,0,0,0,32.0,46.0,69.6,2.0,1,1.0,0,2.0,68.0,0.0,6.0,0.0,2,2,0,3,0.0,0.0,0,0.0,6.0,MFFW,20,England,Manchester Utd,Uruguay
423,Sebastian Coates,2,2,180,0,0,1,0,0,0,1,0,76.0,93.0,81.7,1.0,0,3.0,1,6.0,107.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,7.0,0.0,DF,31,Portugal,Sporting CP,Uruguay
424,Diego Godan,2,2,151,0,0,1,0,0,0,0,0,87.0,103.0,84.5,0.0,0,0.0,1,9.0,116.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,8.0,2.0,DF,36,Argentina,Valez Sarsfield,Uruguay
425,Luis Suarez,3,2,146,0,1,2,1,0,0,1,0,25.0,40.0,62.5,1.0,0,0.0,0,2.0,52.0,2.0,3.0,66.7,0,6,1,0,0.0,0.0,0,2.0,4.0,FW,35,Uruguay,Nacional,Uruguay
426,Edinson Cavani,3,1,124,0,0,3,0,0,0,1,0,27.0,37.0,73.0,0.0,0,0.0,0,0.0,45.0,1.0,1.0,100.0,0,1,1,0,0.0,0.0,0,2.0,1.0,FW,35,Spain,Valencia,Uruguay
427,Giorgian De Arrascaeta,2,1,108,2,0,3,3,2,0,0,0,32.0,52.0,61.5,3.0,1,1.0,2,1.0,70.0,0.0,1.0,0.0,0,0,0,6,0.0,0.0,0,0.0,4.0,MF,28,Brazil,Flamengo,Uruguay
428,Martan Caiceres,1,1,90,0,0,0,0,0,0,1,0,68.0,79.0,86.1,0.0,0,0.0,0,2.0,83.0,1.0,1.0,100.0,1,0,0,0,0.0,0.0,0,1.0,0.0,DF,35,USA,LA Galaxy,Uruguay
429,Nicolas De La Cruz,2,0,38,0,0,1,1,0,0,0,0,20.0,25.0,80.0,0.0,0,0.0,0,0.0,29.0,0.0,1.0,0.0,0,2,0,1,0.0,0.0,0,0.0,1.0,MF,25,Argentina,River Plate,Uruguay
430,Maxi Gamez,2,0,30,0,0,2,1,0,0,0,0,5.0,7.0,71.4,0.0,0,0.0,0,0.0,9.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0,2.0,0.0,FW,25,Turkey,Trabzonspor,Uruguay
431,Mataas Viaa,2,0,17,0,0,0,0,0,0,0,0,11.0,21.0,52.4,4.0,3,0.0,0,0.0,26.0,1.0,1.0,100.0,1,0,0,2,0.0,0.0,0,0.0,0.0,DF,24,Italy,Roma,Uruguay
432,Agustin Canobbio,1,0,11,0,0,0,0,0,0,0,0,5.0,7.0,71.4,1.0,1,1.0,0,0.0,11.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,0.0,1.0,MF,23,Brazil,Atl Paranaense,Uruguay
433,Aimen Dahmen,3,3,270,0,0,0,0,0,0,0,0,48.0,77.0,62.3,0.0,0,0.0,0,2.0,82.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,25,Tunisia,CS Sfaxien,Tunisia
434,Yassine Meriah,3,3,270,0,0,1,0,0,0,0,0,139.0,171.0,81.3,4.0,2,5.0,1,20.0,208.0,2.0,4.0,50.0,3,1,0,2,0.0,0.0,0,5.0,6.0,DF,28,Tunisia,Esparance de Tunis,Tunisia
435,Ellyes Skhiri,3,3,270,0,0,2,0,0,0,0,0,109.0,127.0,85.8,10.0,3,2.0,7,3.0,161.0,1.0,3.0,33.3,3,2,0,2,0.0,0.0,0,1.0,0.0,MF,27,Germany,Kaln,Tunisia
436,Montassar Talbi,3,3,270,0,0,1,1,0,0,0,0,118.0,137.0,86.1,2.0,2,7.0,2,18.0,177.0,0.0,1.0,0.0,4,2,0,0,0.0,0.0,0,8.0,9.0,DF,24,France,Lorient,Tunisia
437,Aassa Laadouni,3,3,243,0,1,2,0,0,0,1,0,99.0,123.0,80.5,3.0,3,7.0,4,6.0,157.0,1.0,4.0,25.0,3,6,0,3,0.0,0.0,0,3.0,1.0,MF,25,Hungary,Ferencvairos,Tunisia
438,Ali Abdi,3,2,188,0,0,0,0,0,0,1,0,72.0,116.0,62.1,8.0,5,1.0,4,13.0,154.0,1.0,2.0,50.0,5,0,1,5,0.0,0.0,0,9.0,5.0,DF,28,France,Caen,Tunisia
439,Issam Jebali,3,2,182,0,0,3,1,0,0,0,0,25.0,35.0,71.4,3.0,3,1.0,0,3.0,60.0,1.0,2.0,50.0,10,2,1,2,0.0,0.0,0,2.0,15.0,FW,30,Denmark,Odense,Tunisia
440,Youssef Msakni,2,2,169,0,0,9,2,0,0,0,0,50.0,69.0,72.5,3.0,1,2.0,0,1.0,92.0,4.0,7.0,57.1,0,4,0,2,0.0,0.0,0,3.0,6.0,MFFW,31,Qatar,AlArabi SC,Tunisia
441,Dylan Bronn,2,2,162,0,0,1,0,0,0,0,0,75.0,98.0,76.5,4.0,2,2.0,0,0.0,106.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0,2.0,4.0,DF,26,Italy,Salernitana,Tunisia
442,Anis Ben Slimane,2,2,148,0,0,1,1,0,0,0,0,29.0,46.0,63.0,3.0,1,2.0,1,1.0,72.0,0.0,1.0,0.0,0,0,0,8,0.0,0.0,0,5.0,3.0,MF,21,Denmark,Brandby,Tunisia
443,Mohamed Dra¤ger,2,2,132,0,0,4,0,0,0,0,0,36.0,50.0,72.0,5.0,3,0.0,1,4.0,74.0,1.0,2.0,50.0,2,1,0,3,0.0,0.0,0,1.0,1.0,DF,25,Switzerland,Luzern,Tunisia
